Subscription Name,Subscription ID,Organization,Environment,Resource Group,VNet,Subnet,Address Prefix,Next Hop Type,Next Hop IP,Route Source,Route Table,Route Name,NIC ID
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,vnet-pa-net-blkbrg-01,AUSTRALIA_EAST,app-dmz-nonprod-01,0.0.0.0/0,VirtualAppliance,10.94.140.132,User,p01-ae-zsc-rt,p01-ae-zsc-route,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/BBCRM-DA-SOD-BLKBRD-01/providers/Microsoft.Network/networkInterfaces/AZR0DBBCRMSQL01-NIC01
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,vnet-pa-net-blkbrg-01,AUSTRALIA_EAST,app-dmz-nonprod-01,10.0.0.0/8,VirtualAppliance,10.95.255.12,User,p01-ae-zsc-rt,10.0.0.0_255.0.0.0,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/BBCRM-DA-SOD-BLKBRD-01/providers/Microsoft.Network/networkInterfaces/AZR0DBBCRMSQL01-NIC01
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,vnet-pa-net-blkbrg-01,AUSTRALIA_EAST,app-nondmz-prod-01,0.0.0.0/0,VirtualAppliance,10.94.140.132,User,p01-ae-zsc-rt,p01-ae-zsc-route,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/BBEC-PA-AE-APD-BLKBRG-01/providers/Microsoft.Network/networkInterfaces/AZR0PAECONV09-NIC01
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,vnet-pa-net-blkbrg-01,AUSTRALIA_EAST,app-nondmz-prod-01,10.0.0.0/8,VirtualAppliance,10.95.255.12,User,p01-ae-zsc-rt,10.0.0.0_255.0.0.0,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/BBEC-PA-AE-APD-BLKBRG-01/providers/Microsoft.Network/networkInterfaces/AZR0PAECONV09-NIC01
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,vnet-pa-net-blkbrg-01,AUSTRALIA_EAST,web-dmz-nonprod-01,0.0.0.0/0,VirtualAppliance,10.94.140.132,User,p01-ae-zsc-rt,p01-ae-zsc-route,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/BBEC-PA-AE-APD-BLKBRG-01/providers/Microsoft.Network/networkInterfaces/BBEC-SERV5914
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,vnet-pa-net-blkbrg-01,AUSTRALIA_EAST,web-dmz-nonprod-01,10.0.0.0/8,VirtualAppliance,10.95.255.12,User,p01-ae-zsc-rt,10.0.0.0_255.0.0.0,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/BBEC-PA-AE-APD-BLKBRG-01/providers/Microsoft.Network/networkInterfaces/BBEC-SERV5914
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,vnet-pa-net-blkbrg-01,EAST_US,app-nondmz-nonprod-sap-01,0.0.0.0/0,VirtualAppliance,10.91.200.4,User,p01-eus-zsc-rt,p01-eus-zsc-route,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/NONDMZPTL-PDNT-VM-DA-OPS-BLKBRG-01/providers/Microsoft.Network/networkInterfaces/AZR0DBLDTOOLS02-NIC01
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,vnet-pa-net-blkbrg-01,AUSTRALIA_EAST,AZRAECSR-INTERNAL,0.0.0.0/0,VirtualAppliance,10.94.140.132,User,p01-ae-dmvpn-rt,default-to-zscaler,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/AUSTRALIA_EAST_NETWORK/providers/Microsoft.Network/networkInterfaces/AZRAECSR01-NIC1
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,vnet-pa-net-blkbrg-01,AUSTRALIA_EAST,inf-nondmz-prod-01,0.0.0.0/0,VirtualAppliance,10.94.140.132,User,p01-ae-zsc-rt,p01-ae-zsc-route,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/BBIT-PA-AE-BLBKRG-01/providers/Microsoft.Network/networkInterfaces/AZR0PMFTAUS01-NIC01
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,vnet-pa-net-blkbrg-01,AUSTRALIA_EAST,inf-nondmz-prod-01,10.0.0.0/8,VirtualAppliance,10.95.255.12,User,p01-ae-zsc-rt,10.0.0.0_255.0.0.0,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/BBIT-PA-AE-BLBKRG-01/providers/Microsoft.Network/networkInterfaces/AZR0PMFTAUS01-NIC01
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,vnet-pa-net-blkbrg-01,AUSTRALIA_EAST,AZRAECSR-EXTERNAL,0.0.0.0/0,VirtualAppliance,10.94.140.132,User,p01-ae-dmvpn-rt,default-to-zscaler,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/AUSTRALIA_EAST_NETWORK/providers/Microsoft.Network/networkInterfaces/AZRAECSR01-NIC0
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,vnet-pa-net-blkbrg-01,AUSTRALIA_EAST,inf-nondmz-SW-prod-01,0.0.0.0/0,VirtualAppliance,10.94.140.132,User,p01-ae-zsc-rt,p01-ae-zsc-route,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/SOLARWINDS-PA-RDO-BLKBRG-01/providers/Microsoft.Network/networkInterfaces/AZR0PAUESLW001-NIC01
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,vnet-pa-net-blkbrg-01,AUSTRALIA_EAST,inf-nondmz-SW-prod-01,10.0.0.0/8,VirtualAppliance,10.95.255.12,User,p01-ae-zsc-rt,10.0.0.0_255.0.0.0,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/SOLARWINDS-PA-RDO-BLKBRG-01/providers/Microsoft.Network/networkInterfaces/AZR0PAUESLW001-NIC01
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,vnet-pa-net-blkbrg-01,EAST_US,web-nondmz-nonprod-01,0.0.0.0/0,VirtualAppliance,10.91.200.4,User,p01-eus-zsc-rt,p01-eus-zsc-route,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/ETAP-DA-PROFSERV-BLKBRG-01/providers/Microsoft.Network/networkInterfaces/AZR0DMLBWEB02986_Z1
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,vnet-pa-net-blkbrg-01,EAST_US,app-nondmz-prod-sap-01,0.0.0.0/0,VirtualAppliance,10.91.200.4,User,p01-eus-zsc-rt,p01-eus-zsc-route,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/BOBJECTS-PA-BI-BLKBRG-01/providers/Microsoft.Network/networkInterfaces/AZR0PBOBJS01369
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,vnet-pa-net-blkbrg-01,EAST_US,inf-nondmz-SW-prod-01,0.0.0.0/0,VirtualAppliance,10.91.200.4,User,p01-eus-zsc-rt,p01-eus-zsc-route,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/SOLARWINDS-PA-RDO-BLKBRG-01/providers/Microsoft.Network/networkInterfaces/AZR0APESLW01A-NIC01
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,vnet-pa-net-blkbrg-01,EAST_US,net-nondmz-prod-01,0.0.0.0/0,VirtualAppliance,10.91.200.4,User,p01-eus-zsc-rt,p01-eus-zsc-route,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/TERMINAL-PA-NETWORK-BLKBRG-01/providers/Microsoft.Network/networkInterfaces/AZR0PTERMNET01-NIC01
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,vnet-pa-net-blkbrg-01,EAST_US,app-nondmz-nonprod-01,0.0.0.0/0,VirtualAppliance,10.91.200.4,User,p01-eus-zsc-rt,p01-eus-zsc-route,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/ALTERYX01-DA-INF-BLKBRG-01/providers/Microsoft.Network/networkInterfaces/AZR0DAITERYX01-NIC01
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,vnet-pa-net-blkbrg-01,EAST_US,sec-dmz-prod-01,0.0.0.0/0,VirtualAppliance,10.91.200.4,User,p01-eus-zsc-rt,p01-eus-zsc-route,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/FRESPONSE-PA-CYBERSECURITY-BLKBRG-01/providers/Microsoft.Network/networkInterfaces/AZR0PFRCOL01-NIC01
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,vnet-pa-net-blkbrg-01,EAST_US,sec-nondmz-prod-01,0.0.0.0/0,Internet,,Default,,,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/CERTMANGEMENT-PA-INF-BLKBRG-01/providers/Microsoft.Network/networkInterfaces/AZR0PEXTCDP1-NIC01
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,vnet-pa-net-blkbrg-01,EAST_US,web-nondmz-prod-01,0.0.0.0/0,VirtualAppliance,10.91.200.4,User,p01-eus-zsc-rt,p01-eus-zsc-route,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/BBPAYCLOUD-PA-INF-BLKBRG-01/providers/Microsoft.Network/networkInterfaces/AZR0PAYCLOUD2-NIC01
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,vnet-pa-net-blkbrg-01,EAST_US,inf-nondmz-prod-01,0.0.0.0/0,VirtualAppliance,10.91.200.4,User,p01-eus-zsc-rt,p01-eus-zsc-route,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/ADCONNECT-PA-EUS-BLKBRG-01/providers/Microsoft.Network/networkInterfaces/AZR0PEUSADCON01119
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,vnet-pa-net-blkbrg-01,WEST_EUROPE,app-dmz-prod-01,0.0.0.0/0,VirtualAppliance,10.94.172.132,User,p01-weu-zsc-rt,p01-weu-zsc-route,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/SERVICENOW-PA-APD-BLKBRG-01/providers/Microsoft.Network/networkInterfaces/AZR0PWEUSNMID02-NIC01
IT Production P01,66c7e60e-86dc-4cac-9a45-dbdce2ee4dab,IT,Production,vnet-pa-net-blkbrg-01,WEST_EUROPE,app-dmz-prod-01,10.0.0.0/8,VirtualAppliance,10.96.255.12,User,p01-weu-zsc-rt,10.0.0.0_255.0.0.0,/subscriptions/66c7e60e-86dc-4cac-9a45-dbdce2ee4dab/resourceGroups/SERVICENOW-PA-APD-BLKBRG-01/providers/Microsoft.Network/networkInterfaces/AZR0PWEUSNMID02-NIC01
